iter	Passed	Remaining
726	4507	14091
727	4512	14084
728	4518	14077
729	4524	14069
730	4530	14063
731	4536	14056
732	4542	14048
733	4548	14041
734	4554	14034
735	4560	14028
736	4566	14021
737	4572	14013
738	4578	14006
739	4583	13999
740	4589	13992
741	4595	13985
742	4601	13978
743	4607	13971
744	4613	13964
745	4619	13958
746	4625	13951
747	4631	13944
748	4637	13937
749	4643	13930
750	4650	13925
751	4655	13918
752	4661	13911
753	4668	13905
754	4674	13898
755	4680	13893
756	4686	13886
757	4692	13879
758	4698	13872
759	4704	13865
760	4710	13859
761	4716	13852
762	4722	13846
763	4728	13839
764	4734	13832
765	4740	13826
766	4747	13820
767	4753	13814
768	4759	13807
769	4765	13800
770	4771	13795
771	4777	13788
772	4783	13782
773	4789	13775
774	4795	13769
775	4802	13763
776	4808	13756
777	4814	13750
778	4821	13745
779	4827	13740
780	4834	13735
781	4840	13728
782	4846	13721
783	4852	13714
784	4858	13708
785	4864	13702
786	4871	13698
787	4878	13695
788	4885	13691
789	4892	13686
790	4899	13682
791	4906	13677
792	4912	13673
793	4919	13668
794	4926	13663
795	4932	13658
796	4939	13652
797	4945	13646
798	4951	13639
799	4957	13632
800	4963	13626
801	4969	13619
802	4975	13612
803	4981	13605
804	4987	13599
805	4994	13596
806	5000	13589
807	5006	13582
808	5012	13576
809	5018	13569
810	5025	13563
811	5031	13556
812	5037	13550
813	5043	13543
814	5049	13537
815	5055	13530
816	5061	13524
817	5067	13518
818	5073	13511
819	5079	13504
820	5086	13498
821	5092	13492
822	5098	13485
823	5104	13478
824	5110	13471
825	5116	13466
826	5122	13459
827	5128	13452
828	5134	13446
829	5140	13439
830	5146	13434
831	5152	13427
832	5158	13420
833	5164	13413
834	5170	13407
835	5177	13401
836	5183	13394
837	5189	13388
838	5195	13381
839	5201	13374
840	5207	13368
841	5213	13361
842	5219	13355
843	5226	13349
844	5232	13343
845	5238	13336
846	5244	13330
847	5250	13323
848	5256	13316
849	5262	13310
850	5268	13304
851	5274	13297
852	5280	13290
853	5286	13283
854	5292	13276
855	5298	13270
856	5304	13264
857	5310	13257
858	5316	13250
859	5322	13243
860	5328	13236
861	5334	13230
862	5340	13223
863	5346	13216
864	5351	13209
865	5358	13203
866	5363	13196
867	5369	13189
868	5375	13183
869	5381	13176
870	5388	13170
871	5394	13163
872	5399	13156
873	5405	13149
874	5411	13143
875	5418	13137
876	5424	13130
877	5430	13123
878	5436	13116
879	5441	13109
880	5448	13103
881	5454	13097
882	5459	13089
883	5465	13083
884	5471	13076
885	5478	13071
886	5484	13065
887	5490	13058
888	5496	13051
889	5502	13045
890	5509	13039
891	5515	13033
892	5521	13027
893	5527	13020
894	5533	13014
895	5539	13008
896	5545	13002
897	5552	12996
898	5558	12989
899	5564	12983
900	5570	12977
901	5576	12971
902	5582	12965
903	5588	12958
904	5594	12951
905	5601	12946
906	5607	12940
907	5613	12933
908	5619	12926
909	5625	12920
910	5631	12914
911	5637	12908
912	5644	12901
913	5650	12895
914	5656	12888
915	5662	12882
916	5668	12876
917	5674	12869
918	5680	12863
919	5686	12857
920	5693	12851
921	5699	12845
